I;ı;0;4834;Turkish, Azerbaijani
Ã;ã;1;1766;Portuguese
Ñ;ñ;2;894;Spanish, Galician, Breton, Basque
Ł;ł;3;765;Polish, Upper Sorbian, Lower Sorbian
Ă;ă;4;614;Romanian
Ê;ê;5;631;Western Frisian, French, Portuguese, Breton
Ë;ë;6;536;Dutch, Luxembourgish, French, Albanian
Ş;ş;7;1710;Turkish, Azerbaijani
Õ;õ;8;362;Portuguese, Estonian
Å;å;9;237;Swedish, Danish, Norwegian, Finnish
Ą;ą;10;416;Polish, Lithuanian
Î;î;11;350;French, Italian, Romanian, Breton
Ý;ý;12;166;Icelandic, Faroese, Czech, Slovak
Ę;ę;13;407;Polish, Lithuanian
Ő;ő;14;123;Hungarian
SS;ß;15;122;German
Ě;ě;16;162;Czech, Upper Sorbian, Lower Sorbian
Ò;ò;17;96;Italian, Catalan, Corsican, Sardinian
Ğ;ğ;18;850;Turkish, Azerbaijani
Ā;ā;19;60;Latvian
Ż;ż;20;273;Polish, Maltese
Ø;ø;21;87;Danish, Norwegian, Faroese
Ș;ș;22;254;Romanian
Œ;œ;23;51;French
Ė;ė;24;64;Lithuanian
Ř;ř;25;119;Czech, Upper Sorbian
Ț;ț;26;237;Romanian
Ś;ś;27;226;Polish, Lower Sorbian
Ì;ì;28;36;Italian, Corsican, Sardinian
Û;û;29;36;Western Frisian, French, Breton
Ï;ï;30;28;Dutch, French, Catalan, Corsican
Ű;ű;31;30;Hungarian
Ų;ų;32;53;Lithuanian
Ť;ť;33;31;Czech, Slovak
Ů;ů;34;59;Czech
Ć;ć;35;104;Polish, Upper Sorbian, Lower Sorbian
Ľ;ľ;36;24;Slovak
Ð;ð;37;15;Icelandic, Faroese
Ń;ń;38;81;Polish, Upper Sorbian, Lower Sorbian
Ħ;ħ;39;12;Maltese
Ī;ī;40;27;Latvian
Į;į;41;22;Lithuanian
Ň;ň;42;13;Czech, Slovak
Ū;ū;43;23;Lithuanian, Latvian
Ď;ď;44;9;Czech, Slovak
Ź;ź;45;27;Polish, Upper Sorbian, Lower Sorbian
Ē;ē;46;25;Latvian
Ġ;ġ;47;5;Maltese
Ċ;ċ;48;3;Maltese
Þ;þ;49;4;Icelandic
Ĺ;ĺ;50;1;Slovak
Ņ;ņ;51;7;Latvian
Ŕ;ŕ;52;1;Slovak, Lower Sorbian
Ļ;ļ;53;6;Latvian
Đ;đ;54;0;Northern Sami
Ÿ;ÿ;55;0;French
Ķ;ķ;56;2;Latvian
Ģ;ģ;57;2;Latvian
Ŋ;ŋ;58;0;Northern Sami
Ŧ;ŧ;59;0;Northern Sami
